CustomerID,Gender,Age,SeniorCitizen,Dependents,Region,Tenure_Months,Contract,InternetService,TechSupport,PaymentMethod,NumProducts,MonthlyCharges,TotalCharges,JoinDate,Churn,ChurnReason,CohortMonth
CUST0001,Male,53,0,No,West,52,Two Year,DSL,No,Bank Transfer,2,83.77,4354.28,2023-10-17,0,NA,2023-10
CUST0002,Male,21,0,Yes,North,15,Month-to-Month,Fiber Optic,No,Mailed Check,2,85.87,1308.34,2022-04-25,1,Financial Constraints,2022-04
CUST0003,Male,26,1,Yes,South,72,Two Year,Fiber Optic,No,Credit Card,3,35.66,2524.32,2022-01-26,0,NA,2022-01
CUST0004,Male,25,0,Yes,North,61,Month-to-Month,No Internet,Yes,Credit Card,1,52.51,3172.49,2022-10-09,1,Poor Customer Service,2022-10
CUST0005,Female,19,0,No,West,21,Month-to-Month,DSL,Yes,Electronic Check,2,77.36,1596.02,2022-09-08,1,Moved Away,2022-09
CUST0006,Female,46,0,Yes,South,24,One Year,Fiber Optic,No,Credit Card,1,26.36,656.46,2022-08-17,0,NA,2022-08
CUST0007,Male,40,0,No,West,3,One Year,Fiber Optic,Yes,Electronic Check,2,52.54,126.53,2022-05-23,0,NA,2022-05
CUST0008,Female,23,0,No,South,22,Month-to-Month,Fiber Optic,Yes,Credit Card,4,68.13,1506.21,2022-04-15,1,Financial Constraints,2022-04
CUST0009,Female,60,0,No,West,53,One Year,DSL,No,Electronic Check,1,109.66,5783.5,2023-11-24,0,NA,2023-11
CUST0010,Male,53,0,No,West,2,One Year,DSL,No,Electronic Check,2,62.71,161.58,2023-07-13,1,Lack of Features,2023-07
CUST0011,Male,63,0,Yes,South,30,Month-to-Month,Fiber Optic,No,Mailed Check,2,93.45,2847.72,2022-03-31,0,NA,2022-03
CUST0012,Female,38,0,No,South,38,Two Year,Fiber Optic,No,Bank Transfer,3,58.89,2239.67,2023-08-28,0,NA,2023-08
CUST0013,Female,39,1,Yes,West,2,Two Year,Fiber Optic,No,Mailed Check,2,91.68,168.59,2023-03-09,1,Switched to Competitor,2023-03
CUST0014,Female,26,0,No,North,64,One Year,No Internet,Yes,Electronic Check,3,73.59,4683.17,2022-02-02,0,NA,2022-02
CUST0015,Male,51,0,Yes,North,60,Month-to-Month,No Internet,No,Bank Transfer,3,99.79,5942.38,2022-01-31,0,NA,2022-01
CUST0016,Female,43,0,No,North,21,One Year,Fiber Optic,No,Credit Card,2,56.98,1173.43,2022-04-06,1,Lack of Features,2022-04
CUST0017,Female,18,1,No,North,33,Month-to-Month,DSL,Yes,Mailed Check,2,74.39,2470.29,2022-08-12,0,NA,2022-08
CUST0018,Male,53,0,No,South,58,Month-to-Month,Fiber Optic,Yes,Electronic Check,2,76.7,4451.96,2022-08-27,1,Switched to Competitor,2022-08
CUST0019,Female,61,0,Yes,South,22,Month-to-Month,Fiber Optic,Yes,Mailed Check,3,57.56,1310.72,2023-06-02,1,Lack of Features,2023-06
CUST0020,Male,22,1,No,North,49,Month-to-Month,DSL,No,Electronic Check,1,32.99,1606.14,2023-09-09,1,Better Price Elsewhere,2023-09
CUST0021,Male,58,0,Yes,East,59,Two Year,No Internet,No,Credit Card,2,28.42,1696.17,2022-01-28,0,NA,2022-01
CUST0022,Female,39,1,No,East,42,One Year,No Internet,No,Credit Card,3,21.5,901.93,2023-07-29,0,NA,2023-07
CUST0023,Male,21,0,No,East,60,One Year,DSL,No,Bank Transfer,2,98.62,5918.46,2022-07-23,0,NA,2022-07
CUST0024,Male,65,0,No,West,15,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,41.28,595.98,2023-10-28,0,NA,2023-10
CUST0025,Female,19,1,No,North,62,Month-to-Month,No Internet,No,Credit Card,2,39.04,2415.98,2023-12-20,1,Financial Constraints,2023-12
CUST0026,Male,33,0,No,West,62,Month-to-Month,Fiber Optic,No,Mailed Check,1,86.24,5343.96,2023-07-13,1,Better Price Elsewhere,2023-07
CUST0027,Female,33,0,No,South,47,Two Year,DSL,Yes,Credit Card,2,48.8,2314.26,2023-03-06,0,NA,2023-03
CUST0028,Male,39,0,No,South,62,Month-to-Month,Fiber Optic,No,Bank Transfer,2,65.54,4107.54,2022-08-14,0,NA,2022-08
CUST0029,Male,60,1,No,East,51,Two Year,DSL,Yes,Bank Transfer,4,34.63,1749.06,2023-04-05,0,NA,2023-04
CUST0030,Female,18,0,No,East,55,One Year,Fiber Optic,No,Bank Transfer,1,106.38,5805.12,2023-08-27,1,Moved Away,2023-08
CUST0031,Female,32,0,Yes,South,64,Month-to-Month,Fiber Optic,No,Mailed Check,3,96.64,6184.59,2022-10-12,0,NA,2022-10
CUST0032,Female,41,0,No,East,3,One Year,No Internet,No,Credit Card,2,97.74,297.67,2022-01-07,0,NA,2022-01
CUST0033,Male,21,0,No,East,51,Month-to-Month,Fiber Optic,No,Mailed Check,1,56.61,2853.95,2022-06-13,0,NA,2022-06
CUST0034,Female,35,0,Yes,South,7,Two Year,DSL,Yes,Bank Transfer,3,88.61,646.32,2023-12-16,0,NA,2023-12
CUST0035,Male,34,0,No,West,21,Two Year,Fiber Optic,No,Electronic Check,1,32.95,740.44,2023-03-09,1,Poor Customer Service,2023-03
CUST0036,Female,24,0,No,East,39,Month-to-Month,Fiber Optic,Yes,Bank Transfer,4,20.78,855.0,2022-12-15,0,NA,2022-12
CUST0037,Male,67,0,Yes,West,18,Month-to-Month,Fiber Optic,No,Bank Transfer,3,21.8,362.11,2022-10-12,0,NA,2022-10
CUST0038,Female,62,0,No,East,4,One Year,Fiber Optic,No,Electronic Check,1,72.79,328.7,2022-06-09,1,Switched to Competitor,2022-06
CUST0039,Male,69,0,No,North,60,Two Year,No Internet,No,Electronic Check,1,60.99,3679.85,2022-08-09,0,NA,2022-08
CUST0040,Female,69,0,No,West,14,Month-to-Month,Fiber Optic,Yes,Bank Transfer,2,66.62,928.06,2022-12-11,1,Switched to Competitor,2022-12
CUST0041,Male,27,1,No,West,9,One Year,No Internet,No,Bank Transfer,2,20.67,190.09,2022-04-15,0,NA,2022-04
CUST0042,Male,18,0,No,East,53,One Year,DSL,No,Mailed Check,2,58.04,3111.08,2022-04-05,0,NA,2022-04
CUST0043,Male,19,0,Yes,West,2,One Year,Fiber Optic,No,Electronic Check,2,84.63,167.27,2023-01-25,1,Better Price Elsewhere,2023-01
CUST0044,Male,66,0,No,North,60,Month-to-Month,DSL,Yes,Bank Transfer,2,59.84,3577.72,2022-04-10,0,NA,2022-04
CUST0045,Female,39,0,No,South,71,One Year,DSL,Yes,Electronic Check,1,85.9,6098.22,2023-01-03,0,NA,2023-01
CUST0046,Male,49,0,No,North,44,Two Year,DSL,Yes,Mailed Check,3,40.97,1810.59,2022-12-19,0,NA,2022-12
CUST0047,Female,46,0,No,South,8,Month-to-Month,Fiber Optic,No,Electronic Check,3,93.18,714.35,2023-09-11,1,Poor Customer Service,2023-09
CUST0048,Male,52,0,No,North,47,Month-to-Month,Fiber Optic,No,Electronic Check,2,72.96,3469.21,2022-09-28,0,NA,2022-09
CUST0049,Female,34,1,No,North,35,Two Year,No Internet,No,Electronic Check,3,38.97,1381.37,2022-02-14,0,NA,2022-02
CUST0050,Male,29,0,No,West,36,Month-to-Month,No Internet,Yes,Mailed Check,1,41.3,1500.13,2023-04-16,1,Poor Customer Service,2023-04
CUST0051,Male,41,0,No,North,50,Two Year,No Internet,Yes,Electronic Check,1,76.52,3785.95,2023-07-04,0,NA,2023-07
CUST0052,Female,47,0,No,East,4,Month-to-Month,Fiber Optic,No,Mailed Check,2,94.69,389.18,2022-05-08,1,Financial Constraints,2022-05
CUST0053,Female,61,1,No,East,2,Month-to-Month,No Internet,No,Mailed Check,2,57.41,76.92,2023-01-23,0,NA,2023-01
CUST0054,Male,47,0,No,East,6,Two Year,DSL,No,Mailed Check,2,43.25,217.37,2022-03-22,0,NA,2022-03
CUST0055,Female,37,0,Yes,East,54,Month-to-Month,DSL,No,Mailed Check,3,98.03,5296.35,2023-07-20,0,NA,2023-07
CUST0056,Female,59,0,No,West,4,One Year,Fiber Optic,No,Credit Card,4,80.23,311.2,2022-10-28,0,NA,2022-10
CUST0057,Female,24,0,No,East,54,Month-to-Month,DSL,No,Electronic Check,2,60.33,3266.7,2023-10-06,1,Better Price Elsewhere,2023-10
CUST0058,Male,59,0,No,North,63,One Year,Fiber Optic,No,Mailed Check,3,63.91,3985.25,2023-09-26,0,NA,2023-09
CUST0059,Female,67,0,No,East,18,Month-to-Month,Fiber Optic,No,Electronic Check,1,38.38,683.94,2023-01-06,1,Moved Away,2023-01
CUST0060,Male,55,0,No,West,44,Month-to-Month,No Internet,Yes,Electronic Check,1,76.41,3329.52,2023-08-15,0,NA,2023-08
CUST0061,Female,24,0,Yes,South,34,Two Year,Fiber Optic,Yes,Bank Transfer,3,52.29,1826.57,2022-07-16,0,NA,2022-07
CUST0062,Female,66,0,No,North,62,Month-to-Month,Fiber Optic,Yes,Mailed Check,2,109.61,6801.94,2023-12-23,0,NA,2023-12
CUST0063,Male,47,0,No,North,14,One Year,Fiber Optic,No,Credit Card,2,63.22,903.82,2022-03-13,0,NA,2022-03
CUST0064,Female,29,0,Yes,West,48,Month-to-Month,No Internet,Yes,Mailed Check,2,63.73,3041.58,2022-02-16,0,NA,2022-02
CUST0065,Female,66,0,Yes,South,15,One Year,DSL,Yes,Credit Card,2,70.93,1023.42,2023-11-09,0,NA,2023-11
CUST0066,Female,48,0,No,East,72,Month-to-Month,Fiber Optic,Yes,Electronic Check,1,102.51,7428.31,2022-08-22,1,Moved Away,2022-08
CUST0067,Female,35,0,No,South,62,Two Year,No Internet,No,Electronic Check,2,92.07,5686.97,2022-10-24,0,NA,2022-10
CUST0068,Female,63,0,No,North,40,Month-to-Month,No Internet,Yes,Electronic Check,1,60.6,2416.38,2022-03-23,0,NA,2022-03
CUST0069,Female,60,0,No,North,53,Month-to-Month,Fiber Optic,No,Electronic Check,1,84.68,4503.03,2022-08-27,1,Poor Customer Service,2022-08
CUST0070,Female,19,0,No,North,24,Month-to-Month,DSL,Yes,Mailed Check,2,72.76,1698.71,2022-04-14,0,NA,2022-04
CUST0071,Male,50,1,No,South,26,Month-to-Month,DSL,Yes,Bank Transfer,1,64.31,1703.09,2023-01-25,0,NA,2023-01
CUST0072,Male,28,0,No,East,60,One Year,DSL,No,Electronic Check,3,37.31,2242.26,2022-10-12,0,NA,2022-10
CUST0073,Male,51,0,Yes,North,41,Month-to-Month,Fiber Optic,Yes,Credit Card,1,61.75,2509.57,2023-04-10,0,NA,2023-04
CUST0074,Male,33,0,No,West,29,Two Year,No Internet,Yes,Credit Card,1,42.12,1177.64,2023-10-13,0,NA,2023-10
CUST0075,Male,52,0,No,East,15,Month-to-Month,DSL,Yes,Electronic Check,2,102.34,1501.35,2023-01-09,1,Financial Constraints,2023-01
CUST0076,Female,69,0,No,North,45,Month-to-Month,Fiber Optic,No,Electronic Check,2,50.19,2298.05,2022-06-16,0,NA,2022-06
CUST0077,Male,50,0,No,East,65,One Year,Fiber Optic,No,Electronic Check,1,105.7,6889.1,2023-01-15,0,NA,2023-01
CUST0078,Male,38,1,No,West,71,One Year,Fiber Optic,Yes,Electronic Check,1,67.97,4800.86,2022-12-30,0,NA,2022-12
